"Libellé";"Nombre de défaillances d'entreprises par date de jugement - Cumul brut glissant sur 12 mois - Auvergne-Rhône-Alpes - Tous secteurs d'activité";"Codes"
"idBank";"001740154";""
"Dernière mise à jour";"12/06/2025 08:45";""
"Période";"";""
"2025-04";"8014";"A"
"2025-03";"7923";"A"
"2025-02";"7870";"A"
"2025-01";"7860";"A"
"2024-12";"7884";"A"
"2024-11";"7653";"A"
"2024-10";"7638";"A"
"2024-09";"7547";"A"
"2024-08";"7489";"A"
"2024-07";"7497";"A"
"2024-06";"7409";"A"
"2024-05";"7341";"A"
"2024-04";"7211";"A"
"2024-03";"7052";"A"
"2024-02";"7038";"A"
"2024-01";"6831";"A"
"2023-12";"6604";"A"
"2023-11";"6496";"A"
"2023-10";"6248";"A"
"2023-09";"6079";"A"
"2023-08";"5955";"A"
"2023-07";"5925";"A"
"2023-06";"5734";"A"
"2023-05";"5570";"A"
"2023-04";"5383";"A"
"2023-03";"5291";"A"
"2023-02";"5099";"A"
"2023-01";"4918";"A"
"2022-12";"4774";"A"
"2022-11";"4657";"A"
"2022-10";"4504";"A"
"2022-09";"4239";"A"
"2022-08";"3982";"A"
"2022-07";"3909";"A"
"2022-06";"3738";"A"
"2022-05";"3624";"A"
"2022-04";"3497";"A"
"2022-03";"3353";"A"
"2022-02";"3140";"A"
"2022-01";"3064";"A"
"2021-12";"3022";"A"
"2021-11";"2952";"A"
"2021-10";"2931";"A"
"2021-09";"2983";"A"
"2021-08";"3035";"A"
"2021-07";"3036";"A"
"2021-06";"3133";"A"
"2021-05";"3152";"A"
"2021-04";"3123";"A"
"2021-03";"3030";"A"
"2021-02";"3069";"A"
"2021-01";"3270";"A"
"2020-12";"3420";"A"
"2020-11";"3610";"A"
"2020-10";"3880";"A"
"2020-09";"4150";"A"
"2020-08";"4389";"A"
"2020-07";"4435";"A"
"2020-06";"4690";"A"
"2020-05";"4856";"A"
"2020-04";"5162";"A"
"2020-03";"5546";"A"
"2020-02";"5786";"A"
"2020-01";"5856";"A"
"2019-12";"5955";"A"
"2019-11";"5974";"A"
"2019-10";"5977";"A"
"2019-09";"6035";"A"
"2019-08";"6025";"A"
"2019-07";"6077";"A"
"2019-06";"6017";"A"
"2019-05";"6109";"A"
"2019-04";"6126";"A"
"2019-03";"6109";"A"
"2019-02";"6145";"A"
"2019-01";"6166";"A"
"2018-12";"6182";"A"
"2018-11";"6199";"A"
"2018-10";"6209";"A"
"2018-09";"6132";"A"
"2018-08";"6160";"A"
"2018-07";"6193";"A"
"2018-06";"6169";"A"
"2018-05";"6161";"A"
"2018-04";"6233";"A"
"2018-03";"6238";"A"
"2018-02";"6317";"A"
"2018-01";"6425";"A"
"2017-12";"6525";"A"
"2017-11";"6504";"A"
"2017-10";"6569";"A"
"2017-09";"6589";"A"
"2017-08";"6710";"A"
"2017-07";"6700";"A"
"2017-06";"6726";"A"
"2017-05";"6793";"A"
"2017-04";"6803";"A"
"2017-03";"6835";"A"
"2017-02";"6893";"A"
"2017-01";"6830";"A"
"2016-12";"6819";"A"
"2016-11";"7020";"A"
"2016-10";"7032";"A"
"2016-09";"7096";"A"
"2016-08";"7111";"A"
"2016-07";"7106";"A"
"2016-06";"7286";"A"
"2016-05";"7357";"A"
"2016-04";"7177";"A"
"2016-03";"7312";"A"
"2016-02";"7400";"A"
"2016-01";"7404";"A"
"2015-12";"7532";"A"
"2015-11";"7438";"A"
"2015-10";"7495";"A"
"2015-09";"7609";"A"
"2015-08";"7653";"A"
"2015-07";"7733";"A"
"2015-06";"7799";"A"
"2015-05";"7722";"A"
"2015-04";"7845";"A"
"2015-03";"7852";"A"
"2015-02";"7598";"A"
"2015-01";"7685";"A"
"2014-12";"7633";"A"
"2014-11";"7662";"A"
"2014-10";"7600";"A"
"2014-09";"7664";"A"
"2014-08";"7598";"A"
"2014-07";"7561";"A"
"2014-06";"7489";"A"
"2014-05";"7510";"A"
"2014-04";"7612";"A"
"2014-03";"7595";"A"
"2014-02";"7706";"A"
"2014-01";"7737";"A"
"2013-12";"7713";"A"
"2013-11";"7751";"A"
"2013-10";"7757";"A"
"2013-09";"7656";"A"
"2013-08";"7652";"A"
"2013-07";"7638";"A"
"2013-06";"7578";"A"
"2013-05";"7545";"A"
"2013-04";"7540";"A"
"2013-03";"7457";"A"
"2013-02";"7427";"A"
"2013-01";"7304";"A"
"2012-12";"7296";"A"
"2012-11";"7240";"A"
"2012-10";"7182";"A"
"2012-09";"7042";"A"
"2012-08";"7065";"A"
"2012-07";"7069";"A"
"2012-06";"6935";"A"
"2012-05";"6871";"A"
"2012-04";"6924";"A"
"2012-03";"6913";"A"
"2012-02";"6940";"A"
"2012-01";"6942";"A"
"2011-12";"6867";"A"
"2011-11";"6785";"A"
"2011-10";"6839";"A"
"2011-09";"6857";"A"
"2011-08";"6800";"A"
"2011-07";"6803";"A"
"2011-06";"6857";"A"
"2011-05";"6951";"A"
"2011-04";"6868";"A"
"2011-03";"6900";"A"
"2011-02";"6940";"A"
"2011-01";"7023";"A"
"2010-12";"7079";"A"
"2010-11";"7238";"A"
"2010-10";"7249";"A"
"2010-09";"7245";"A"
"2010-08";"7381";"A"
"2010-07";"7409";"A"
"2010-06";"7545";"A"
"2010-05";"7585";"A"
"2010-04";"7600";"A"
"2010-03";"7698";"A"
"2010-02";"7750";"A"
"2010-01";"7797";"A"
"2009-12";"7768";"A"
"2009-11";"7708";"A"
"2009-10";"7681";"A"
"2009-09";"7729";"A"
"2009-08";"7544";"A"
"2009-07";"7494";"A"
"2009-06";"7403";"A"
"2009-05";"7225";"A"
"2009-04";"7089";"A"
"2009-03";"6874";"A"
"2009-02";"6673";"A"
"2009-01";"6438";"A"
"2008-12";"6278";"A"
"2008-11";"6097";"A"
"2008-10";"6046";"A"
"2008-09";"5943";"A"
"2008-08";"5914";"A"
"2008-07";"5862";"A"
"2008-06";"5798";"A"
"2008-05";"5830";"A"
"2008-04";"5789";"A"
"2008-03";"5733";"A"
"2008-02";"5768";"A"
"2008-01";"5730";"A"
"2007-12";"5752";"A"
"2007-11";"5788";"A"
"2007-10";"5741";"A"
"2007-09";"5732";"A"
"2007-08";"5723";"A"
"2007-07";"5733";"A"
"2007-06";"5650";"A"
"2007-05";"5659";"A"
"2007-04";"5666";"A"
"2007-03";"5655";"A"
"2007-02";"5538";"A"
"2007-01";"5523";"A"
"2006-12";"5518";"A"
"2006-11";"5481";"A"
"2006-10";"5469";"A"
"2006-09";"5377";"A"
"2006-08";"5434";"A"
"2006-07";"5399";"A"
"2006-06";"5370";"A"
"2006-05";"5336";"A"
"2006-04";"5360";"A"
"2006-03";"5366";"A"
"2006-02";"5407";"A"
"2006-01";"5408";"A"
"2005-12";"5398";"A"
"2005-11";"5373";"A"
"2005-10";"5363";"A"
"2005-09";"5432";"A"
"2005-08";"5359";"A"
"2005-07";"5390";"A"
"2005-06";"5444";"A"
"2005-05";"5352";"A"
"2005-04";"5286";"A"
"2005-03";"5274";"A"
"2005-02";"5269";"A"
"2005-01";"5244";"A"
"2004-12";"5230";"A"
"2004-11";"5214";"A"
"2004-10";"5160";"A"
"2004-09";"5149";"A"
"2004-08";"5126";"A"
"2004-07";"5081";"A"
"2004-06";"5091";"A"
"2004-05";"5122";"A"
"2004-04";"5163";"A"
"2004-03";"5183";"A"
"2004-02";"5133";"A"
"2004-01";"5197";"A"
"2003-12";"5155";"A"
"2003-11";"5194";"A"
"2003-10";"5205";"A"
"2003-09";"5157";"A"
"2003-08";"5078";"A"
"2003-07";"5107";"A"
"2003-06";"5087";"A"
"2003-05";"5078";"A"
"2003-04";"5046";"A"
"2003-03";"5014";"A"
"2003-02";"5056";"A"
"2003-01";"4845";"A"
"2002-12";"4851";"A"
"2002-11";"4803";"A"
"2002-10";"4804";"A"
"2002-09";"4831";"A"
"2002-08";"4889";"A"
"2002-07";"4871";"A"
"2002-06";"4843";"A"
"2002-05";"4869";"A"
"2002-04";"4843";"A"
"2002-03";"4886";"A"
"2002-02";"4623";"A"
"2002-01";"4719";"A"
"2001-12";"4672";"A"
"2001-11";"4719";"A"
"2001-10";"4742";"A"
"2001-09";"4721";"A"
"2001-08";"4701";"A"
"2001-07";"4719";"A"
"2001-06";"4672";"A"
"2001-05";"4660";"A"
"2001-04";"4701";"A"
"2001-03";"4595";"A"
"2001-02";"4843";"A"
"2001-01";"4896";"A"
"2000-12";"4960";"A"
"2000-11";"4982";"A"
"2000-10";"4931";"A"
"2000-09";"4933";"A"
"2000-08";"4931";"A"
"2000-07";"4951";"A"
"2000-06";"5002";"A"
"2000-05";"5025";"A"
"2000-04";"5011";"A"
"2000-03";"5158";"A"
"2000-02";"5142";"A"
"2000-01";"5166";"A"
"1999-12";"5199";"A"
"1999-11";"5186";"A"
"1999-10";"5243";"A"
"1999-09";"5297";"A"
"1999-08";"5360";"A"
"1999-07";"5357";"A"
"1999-06";"5363";"A"
"1999-05";"5374";"A"
"1999-04";"5406";"A"
"1999-03";"5419";"A"
"1999-02";"5487";"A"
"1999-01";"5581";"A"
"1998-12";"5675";"A"
"1998-11";"5788";"A"
"1998-10";"5827";"A"
"1998-09";"5886";"A"
"1998-08";"5902";"A"
"1998-07";"5969";"A"
"1998-06";"6102";"A"
"1998-05";"6222";"A"
"1998-04";"6323";"A"
"1998-03";"6362";"A"
"1998-02";"6405";"A"
"1998-01";"6435";"A"
"1997-12";"6535";"A"
"1997-11";"6549";"A"
"1997-10";"6621";"A"
"1997-09";"6698";"A"
"1997-08";"6792";"A"
"1997-07";"6798";"A"
"1997-06";"6834";"A"
"1997-05";"6807";"A"
"1997-04";"6824";"A"
"1997-03";"6840";"A"
"1997-02";"6819";"A"
"1997-01";"6822";"A"
"1996-12";"6718";"A"
"1996-11";"6724";"A"
"1996-10";"6735";"A"
"1996-09";"6728";"A"
"1996-08";"6681";"A"
"1996-07";"6668";"A"
"1996-06";"6577";"A"
"1996-05";"6614";"A"
"1996-04";"6521";"A"
"1996-03";"6506";"A"
"1996-02";"6584";"A"
"1996-01";"6582";"A"
"1995-12";"6681";"A"
"1995-11";"6669";"A"
"1995-10";"6516";"A"
"1995-09";"6308";"A"
"1995-08";"6120";"A"
"1995-07";"6045";"A"
"1995-06";"5887";"A"
"1995-05";"5714";"A"
"1995-04";"5634";"A"
"1995-03";"5496";"A"
"1995-02";"5302";"A"
"1995-01";"5158";"A"
"1994-12";"4985";"A"
"1994-11";"4838";"A"
"1994-10";"4806";"A"
"1994-09";"4911";"A"
"1994-08";"4991";"A"
"1994-07";"4991";"A"
"1994-06";"5059";"A"
"1994-05";"5068";"A"
"1994-04";"5158";"A"
"1994-03";"5148";"A"
"1994-02";"5216";"A"
"1994-01";"5249";"A"
"1993-12";"5254";"A"
"1993-11";"5283";"A"
"1993-10";"5291";"A"
"1993-09";"5230";"A"
"1993-08";"5179";"A"
"1993-07";"5198";"A"
"1993-06";"5172";"A"
"1993-05";"5133";"A"
"1993-04";"5044";"A"
"1993-03";"5084";"A"
"1993-02";"4986";"A"
"1993-01";"4956";"A"
"1992-12";"4929";"A"
"1992-11";"4831";"A"
"1992-10";"4810";"A"
"1992-09";"4725";"A"
"1992-08";"4649";"A"
"1992-07";"4582";"A"
"1992-06";"4521";"A"
"1992-05";"4468";"A"
"1992-04";"4404";"A"
"1992-03";"4278";"A"
"1992-02";"4204";"A"
"1992-01";"4083";"A"
"1991-12";"3928";"A"
"1991-11";"3870";"A"
"1991-10";"3793";"A"
"1991-09";"3683";"A"
"1991-08";"3624";"A"
"1991-07";"3587";"A"
"1991-06";"3476";"A"
"1991-05";"3428";"A"
"1991-04";"3340";"A"
"1991-03";"3290";"A"
"1991-02";"3228";"A"
"1991-01";"3164";"A"
"1990-12";"3112";"A"
